,Nom_Resto,Type_Cuisine,Type_Repas,Arrondissement
0,ASPIC,"Française, Européenne, Moderne, Saine",Dîner,75009
1,Il Etait Un Square,Végétariens bienvenus,Déjeuner,54
2,New Jawad Longchamp,"Végétariens bienvenus, Choix végétaliens, Halal, Plats sans gluten","Déjeuner, Dîner",75116
3,Restaurant Pizzamore,"Italienne, Pizza, Saine","Déjeuner, Dîner",75014
4,Mayfair Garden,"Indienne, Saine, Pakistanaise, Moderne","Halal, Végétariens bienvenus, Plats sans gluten",75116
5,Bus Toqué,"Française, Moderne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75008
6,Boutary,"Française, Fruits de mer & Poisson, Brasserie gastronomique, Européenne, Fusion","Végétariens bienvenus, Plats sans gluten",75006
7,Les Apotres de Pigalle,"Sud-américaine, Bar à bières, Européenne",Végétariens bienvenus,75018
8,La Table de Colette,"Française, Européenne, Saine","Déjeuner, Dîner",75005
9,Bao & ME,"Asiatique, Fusion, Saine, Cuisine de rue (street food)","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75009
10,Perlimpinpin,"Française, Moderne","Déjeuner, Dîner, Ouvert tard, Boissons",75017
11,Bistrot Kinzo,"Japonaise, Fusion japonaise","Déjeuner, Dîner",75009
12,Bistrot Instinct,"Française, Européenne, Saine","Déjeuner, Dîner",75003
13,Karavaki Au Jardin Du Luxembourg,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75005
14,Gosier,Dîner,"Réservations, Terrasse, Places assises, Sert de l'alcool, Service de table",75009
15,Le Bistrot de Madeleine,"Déjeuner, Dîner","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table, Stationnement dans la rue, Bières & Vins, Wi-Fi gratuit, Chiens acceptés",75009
16,Pur' - Jean-François Rouquette,"Française, Européenne, Saine","Choix végétaliens, Plats sans gluten",75002
17,La MiN,"Française, Internationale, Brasserie gastronomique, Européenne, Saine",Végétariens bienvenus,75011
18,Domenico's,"Italienne, Méditerranéenne, Sicilienne, Italie du Sud, Campanie, Pouilles","Végétariens bienvenus, Plats sans gluten",75009
19,Ya Bayte,"Libanaise, Méditerranéenne, Moyen-Orient","Déjeuner, Dîner, Boissons",75005
20,Da Giuseppe,"Italienne, Pizza, Saine, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud","Déjeuner, Dîner, Boissons",76
21,Les Bariolés de Maud,Française,"Végétariens bienvenus, Choix végétaliens",75009
22,Pizzeria Arrivederci,"Italienne, Pizza, Méditerranéenne, Européenne, Saine, Napolitaine, Campanie, Sicilienne, Italie du Sud","Végétariens bienvenus, Choix végétaliens",75005
23,Pardi,"Française, Méditerranéenne, Européenne",Choix végétaliens,75010
24,Contraste,"Française, Saine, Diner","Déjeuner, Dîner",75008
25,Poni,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75009
26,114 Faubourg,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75008
27,Au P'tit Curieux,"Italienne, Française, Brasserie gastronomique, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75010
28,Coin-OP Table,"Française, Japonaise, Asiatique, Taïwanaise","Végétariens bienvenus, Plats sans gluten",75009
29,O’bergine,"Française, Libanaise, Saine, Moyen-Orient","Déjeuner, Dîner, Boissons",75002
30,Epicure,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75008
31,JJ Beaumarchais,"Française, Européenne, Fusion, Saine","Déjeuner, Dîner",75011
32,Pianovins,"Française, Saine","Déjeuner, Dîner",75011
33,La Réserve Du Terroir,"Bar à vins, Bars-restaurants, Française","Déjeuner, Dîner, Ouvert tard, Boissons",75004
34,Le Faham by Kelly Rangama,"Française, Saine, Cajun & Créole, Fusion","Déjeuner, Dîner",08
35,Kei Restaurant,"Française, Saine","Française, Saine",75001
36,Bistro V,"Française, Diner, Européenne",Dîner,56
37,Le Village Russe,Africaine,"Dîner, Ouvert tard, Boissons",75013
38,Signature Montmartre,"Française, Asiatique, Coréenne, Fusion, Européenne, Saine","Végétariens bienvenus, Plats sans gluten",75018
39,Frog & Underground,"Bar à bières, Bar, Pub, Américaine",Végétariens bienvenus,76
40,Chez Pitou,"Française, Européenne, Saine","Déjeuner, Dîner",75018
41,La Cantine de Mémé,Française,"Végétariens bienvenus, Choix végétaliens",75017
42,L'Oliveto Paris,"Italienne, Méditerranéenne, Européenne, Saine, Napolitaine, Campanie, Toscane, Romana, Latium, Sicilienne, Ligurienne, Italie du Nord, Italie du Centre, Italie du Sud","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75006
43,Frog Hop House,"Américaine, Bar, Pub, Bar à bières",Végétariens bienvenus,75002
44,Petit Boutary,"Française, Européenne, Saine, Brasserie gastronomique","Végétariens bienvenus, Plats sans gluten",75017
45,Frog XVI,"Américaine, Bar, Pub, Bar à bières","Végétariens bienvenus, Choix végétaliens",75116
46,Café de Paris-Friedland,"Végétariens bienvenus, Plats sans gluten","Petit déjeuner, Déjeuner, Dîner, Ouvert tard",75008
47,La Grotte de Chypre,"Méditerranéenne, Turque, Grecque, Moyen-Orient","Végétariens bienvenus, Choix végétaliens, Halal",75005
48,Via Emilia,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Boissons",75009
49,Aux Enfants Gates,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75014
50,Terra Mia,"Italienne, Méditerranéenne, Napolitaine, Campanie, Italie du Sud","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75014
51,Il Tronchetto,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75015
